,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2,RF_Run_0_CV_3,RF_Run_0_CV_4,RF_Run_1_CV_0,RF_Run_1_CV_1,RF_Run_1_CV_2,RF_Run_1_CV_3,RF_Run_1_CV_4,RF_Run_2_CV_0,RF_Run_2_CV_1,RF_Run_2_CV_2,RF_Run_2_CV_3,RF_Run_2_CV_4,RF_Run_3_CV_0,RF_Run_3_CV_1,RF_Run_3_CV_2,RF_Run_3_CV_3,RF_Run_3_CV_4,RF_Run_4_CV_0,RF_Run_4_CV_1,RF_Run_4_CV_2,RF_Run_4_CV_3,RF_Run_4_CV_4
22,OTU_B_56945,OTU_B_21434,OTU_B_54425,OTU_B_56945,OTU_F_23990,OTU_F_17467,OTU_B_21457,OTU_B_14674,OTU_F_82508,OTU_B_731894,OTU_B_40226,OTU_B_121783,OTU_B_17455,OTU_B_140508,OTU_B_56945,OTU_F_25850,OTU_B_121783,OTU_F_56880,OTU_B_76519,OTU_F_30448,OTU_B_121783,OTU_B_56945,OTU_B_56945,OTU_B_56945,OTU_B_14674
23,OTU_B_21457,OTU_F_82508,OTU_B_64987,OTU_B_54425,OTU_B_40108,OTU_F_81595,OTU_B_17455,OTU_F_68256,OTU_F_56880,OTU_B_65162,OTU_B_14674,OTU_F_30509,OTU_F_25850,OTU_F_25540,OTU_F_30429,OTU_B_14674,OTU_B_17455,OTU_F_39466,OTU_F_56880,OTU_B_40091,OTU_B_14674,OTU_F_30509,OTU_B_54425,OTU_B_21438,OTU_B_121783
24,OTU_B_40091,OTU_F_23990,OTU_B_40226,OTU_F_39466,OTU_F_52191,OTU_F_52191,OTU_F_25850,OTU_B_17455,OTU_F_30448,OTU_B_17455,OTU_B_21434,OTU_F_56880,OTU_F_68256,OTU_B_56945,OTU_B_22182,OTU_B_29197,OTU_F_68256,OTU_B_21438,OTU_F_68256,OTU_F_82508,OTU_F_17467,OTU_F_82508,OTU_F_247,OTU_B_17455,OTU_F_31566
25,OTU_F_247,OTU_B_17455,OTU_B_731894,OTU_B_64987,OTU_B_21434,OTU_B_21434,OTU_B_14674,OTU_F_30448,OTU_F_30394,OTU_B_64987,OTU_F_247,OTU_B_57075,OTU_F_52191,OTU_F_17467,OTU_B_67783,OTU_B_121783,OTU_F_39466,OTU_B_57075,OTU_F_138012,OTU_F_31566,OTU_F_81595,OTU_B_67783,OTU_F_52191,OTU_F_25053,OTU_B_731894
26,OTU_F_81595,OTU_F_31566,OTU_B_21438,OTU_B_21438,OTU_B_65162,OTU_B_121783,OTU_B_121783,OTU_F_82508,OTU_F_17467,OTU_B_21434,OTU_F_82508,OTU_F_31566,OTU_B_54487,OTU_B_54487,OTU_B_65162,OTU_F_68256,OTU_B_65162,OTU_B_40226,OTU_F_31566,OTU_F_52191,OTU_B_54425,OTU_F_81595,OTU_B_64987,OTU_F_25850,OTU_B_21434
27,OTU_F_30509,OTU_B_14674,OTU_F_30509,OTU_F_31566,OTU_B_14674,OTU_F_30509,OTU_B_40091,OTU_F_31566,OTU_B_54487,OTU_F_31566,OTU_B_29197,OTU_B_14674,OTU_F_82508,OTU_F_31566,OTU_B_21434,OTU_B_54487,OTU_B_64987,OTU_F_25053,OTU_B_21457,OTU_F_68256,OTU_B_21434,OTU_F_40614,OTU_B_54487,OTU_B_65162,OTU_F_52191
28,OTU_B_14674,OTU_F_52191,OTU_F_25850,OTU_B_121783,OTU_F_68256,OTU_B_54523,OTU_B_22182,OTU_F_30502,OTU_F_30509,OTU_F_247,OTU_B_21457,OTU_F_82508,OTU_F_247,OTU_F_81595,OTU_B_40108,OTU_B_731894,OTU_F_30394,OTU_F_52191,OTU_F_247,OTU_B_14674,OTU_F_25850,OTU_F_30429,OTU_F_56880,OTU_B_29197,OTU_F_81595
29,OTU_F_40614,OTU_B_54487,OTU_B_553579,OTU_F_31350,OTU_B_21438,OTU_F_25850,OTU_B_54425,OTU_B_64987,OTU_F_52191,OTU_F_56880,OTU_F_81595,OTU_F_52191,OTU_B_121783,OTU_B_22182,OTU_F_30394,OTU_B_21434,OTU_F_52191,OTU_B_21434,OTU_B_17455,OTU_B_67783,OTU_F_82508,OTU_B_57075,OTU_F_82508,OTU_F_81595,OTU_F_40614
30,OTU_F_25053,OTU_F_247,OTU_F_40614,OTU_B_21434,OTU_B_21457,OTU_B_140508,OTU_F_25540,OTU_B_57075,OTU_F_40080,OTU_F_25850,OTU_B_121783,OTU_B_17455,OTU_B_22182,OTU_B_17455,OTU_B_54487,OTU_B_64987,OTU_B_54523,OTU_F_247,OTU_B_14674,OTU_B_17455,OTU_B_21457,OTU_F_52191,OTU_B_14674,OTU_F_52191,OTU_B_22182
31,OTU_B_22182,OTU_F_138012,OTU_F_247,OTU_F_52191,OTU_F_25053,OTU_F_25053,OTU_F_138012,OTU_B_21434,OTU_B_56945,OTU_B_14674,OTU_B_56945,OTU_F_30394,OTU_B_21434,OTU_B_121783,OTU_F_52191,OTU_B_22182,OTU_B_21434,OTU_B_67783,OTU_B_121783,OTU_F_30509,OTU_B_22182,OTU_B_21434,OTU_F_40614,OTU_B_14674,OTU_F_30394
32,OTU_B_140508,OTU_B_29197,OTU_B_21457,OTU_F_30448,OTU_B_64987,OTU_B_56945,OTU_F_82508,OTU_B_21457,OTU_B_121783,OTU_B_22182,OTU_B_57075,OTU_F_30448,OTU_B_140508,OTU_B_21434,OTU_F_81595,OTU_B_57075,OTU_B_29197,OTU_F_25850,OTU_F_39466,OTU_B_21457,OTU_F_247,OTU_B_54487,OTU_B_21434,OTU_B_21457,OTU_B_65162
33,OTU_F_82508,OTU_B_731894,OTU_F_52191,OTU_F_138012,OTU_B_73408,OTU_F_82508,OTU_F_81595,OTU_F_30394,OTU_B_14674,OTU_B_29197,OTU_B_17455,OTU_F_39466,OTU_F_17467,OTU_F_31350,OTU_F_30854,OTU_B_67783,OTU_F_30486,OTU_B_54487,OTU_B_29197,OTU_B_21434,OTU_F_30448,OTU_F_68256,OTU_B_21457,OTU_F_56880,OTU_B_54487
34,OTU_F_68256,OTU_B_65162,OTU_F_68256,OTU_F_82508,OTU_B_54487,OTU_F_40614,OTU_F_30394,OTU_F_17467,OTU_F_30429,OTU_B_54487,OTU_F_52191,OTU_F_25850,OTU_B_67783,OTU_F_68256,OTU_B_29197,OTU_B_21438,OTU_F_25850,OTU_F_30394,OTU_B_54487,OTU_F_30394,OTU_B_27711,OTU_B_14674,OTU_F_68256,OTU_B_57075,OTU_B_57075
