,MLPNN_Run_0_CV_0,MLPNN_Run_0_CV_1,MLPNN_Run_0_CV_2,MLPNN_Run_0_CV_3,MLPNN_Run_0_CV_4,MLPNN_Run_1_CV_0,MLPNN_Run_1_CV_1,MLPNN_Run_1_CV_2,MLPNN_Run_1_CV_3,MLPNN_Run_1_CV_4,MLPNN_Run_2_CV_0,MLPNN_Run_2_CV_1,MLPNN_Run_2_CV_2,MLPNN_Run_2_CV_3,MLPNN_Run_2_CV_4,MLPNN_Run_3_CV_0,MLPNN_Run_3_CV_1,MLPNN_Run_3_CV_2,MLPNN_Run_3_CV_3,MLPNN_Run_3_CV_4,MLPNN_Run_4_CV_0,MLPNN_Run_4_CV_1,MLPNN_Run_4_CV_2,MLPNN_Run_4_CV_3,MLPNN_Run_4_CV_4
42,OTU_B_140508,OTU_F_30448,OTU_B_140508,OTU_F_122647,OTU_F_68259,OTU_F_107945,OTU_B_54487,OTU_F_30942,OTU_B_21457,OTU_F_30486,OTU_F_25540,OTU_F_30486,OTU_F_30942,OTU_B_21457,OTU_B_27711,OTU_F_103950,OTU_F_68259,OTU_F_30448,OTU_F_40614,OTU_B_40226,OTU_F_30854,OTU_F_30448,OTU_F_31350,OTU_F_122647,OTU_F_50873
43,OTU_B_553579,OTU_B_416914,OTU_F_1435,OTU_B_54523,OTU_B_67783,OTU_F_122647,OTU_F_30854,OTU_F_30448,OTU_F_130819,OTU_F_25540,OTU_B_553579,OTU_B_21438,OTU_F_38555,OTU_B_40226,OTU_B_40091,OTU_B_21457,OTU_B_416914,OTU_F_1551,OTU_F_30448,OTU_F_30395,OTU_B_416914,OTU_F_1551,OTU_B_553579,OTU_B_140508,OTU_F_107945
44,OTU_B_27711,OTU_F_40614,OTU_B_54487,OTU_F_30854,OTU_F_23990,OTU_F_55643,OTU_B_140508,OTU_F_107945,OTU_B_29197,OTU_B_38079,OTU_B_38079,OTU_F_31350,OTU_F_110078,OTU_F_1435,OTU_B_38079,OTU_B_416914,OTU_F_30854,OTU_F_31350,OTU_B_17455,OTU_B_22182,OTU_F_1435,OTU_F_110078,OTU_F_103950,OTU_B_553579,OTU_B_27711
45,OTU_F_107945,OTU_F_30486,OTU_B_67783,OTU_F_30395,OTU_F_30448,OTU_B_22182,OTU_B_15904,OTU_B_27711,OTU_B_38079,OTU_F_30553,OTU_F_40080,OTU_F_1551,OTU_B_22182,OTU_F_68259,OTU_B_22182,OTU_F_23990,OTU_F_37473,OTU_F_107945,OTU_B_22182,OTU_F_72950,OTU_F_12349,OTU_F_21449,OTU_F_30553,OTU_B_22182,OTU_B_54487
46,OTU_F_30407,OTU_F_122647,OTU_F_97887,OTU_B_38079,OTU_F_12349,OTU_B_21457,OTU_B_22182,OTU_F_72950,OTU_F_122647,OTU_F_68256,OTU_B_27711,OTU_F_30854,OTU_F_1435,OTU_B_14674,OTU_F_31301,OTU_B_27711,OTU_B_14674,OTU_F_30395,OTU_F_31350,OTU_F_12349,OTU_F_62992,OTU_B_27711,OTU_B_64987,OTU_F_30395,OTU_F_68256
47,OTU_B_416914,OTU_B_21457,OTU_B_14674,OTU_F_30448,OTU_B_14674,OTU_B_27711,OTU_F_30395,OTU_B_40226,OTU_F_12349,OTU_F_1551,OTU_F_62992,OTU_F_30942,OTU_F_25540,OTU_B_54487,OTU_B_29197,OTU_F_68259,OTU_F_17467,OTU_F_31566,OTU_F_1435,OTU_F_30854,OTU_B_22182,OTU_B_21438,OTU_B_40091,OTU_F_30448,OTU_B_22182
48,OTU_F_68259,OTU_F_30395,OTU_F_38555,OTU_F_40080,OTU_B_140508,OTU_B_67783,OTU_B_21434,OTU_B_140508,OTU_F_15700,OTU_B_40091,OTU_F_76464,OTU_B_64987,OTU_B_553579,OTU_B_27711,OTU_F_31350,OTU_B_22182,OTU_B_67783,OTU_B_731894,OTU_F_30553,OTU_F_99195,OTU_F_30448,OTU_B_57059,OTU_B_59739,OTU_F_31350,OTU_F_99195
49,OTU_F_25540,OTU_B_67783,OTU_F_12349,OTU_B_40091,OTU_F_31350,OTU_F_40614,OTU_F_1435,OTU_F_15700,OTU_F_62992,OTU_B_29197,OTU_F_55643,OTU_B_54487,OTU_F_122647,OTU_F_37473,OTU_F_40614,OTU_B_170149,OTU_F_52656,OTU_F_30553,OTU_F_30395,OTU_B_14674,OTU_F_40080,OTU_B_40226,OTU_F_40614,OTU_F_62992,OTU_F_122647
50,OTU_F_30448,OTU_F_62992,OTU_F_76464,OTU_B_59739,OTU_F_122647,OTU_F_30395,OTU_B_553579,OTU_F_31350,OTU_F_17467,OTU_F_17467,OTU_F_12349,OTU_F_76464,OTU_B_416914,OTU_F_62992,OTU_F_30395,OTU_F_52656,OTU_F_30448,OTU_F_25540,OTU_B_40091,OTU_F_50870,OTU_F_30486,OTU_F_31350,OTU_F_107945,OTU_B_38079,OTU_F_12349
51,OTU_B_22182,OTU_B_38079,OTU_F_110078,OTU_B_67783,OTU_F_30407,OTU_F_52656,OTU_F_30448,OTU_F_1435,OTU_F_30448,OTU_B_27711,OTU_B_14674,OTU_F_30553,OTU_F_68259,OTU_F_30942,OTU_F_25540,OTU_F_110078,OTU_F_62992,OTU_B_21434,OTU_F_52656,OTU_F_37473,OTU_F_52656,OTU_F_15700,OTU_F_1551,OTU_B_29197,OTU_F_1551
