,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4
OTU_B_59739,-0.085053414,-0.10918455,-0.09437635,-0.16292174,-0.13794675,-0.13790709,-0.1255168,-0.086535476,-0.10637082,-0.11070609,-0.09581345,-0.018465772,-0.24263336,-0.18186395,-0.10927703,-0.15992285,-0.23192862,-0.068581715,-0.11852814,-0.10069645,-0.09949666,-0.11131425,-0.17774189,-0.12906475,-0.12839802
OTU_B_29197,-0.07538687,-0.21204555,-0.10357534,-0.13899854,-0.11124398,-0.13542452,-0.12002039,-0.062105197,-0.19396035,-0.14827527,-0.27162525,-0.011768921,-0.028040597,-0.15447351,-0.1824705,-0.22079845,-0.14953844,-0.08798904,-0.14317423,-0.15829746,-0.17148446,-0.121412836,-0.115383476,-0.1898245,-0.15080823
OTU_B_23956,0.12478027,0.07375405,0.08002412,0.006616017,0.07330741,0.06266909,0.09741706,0.029386455,0.1269323,0.100319535,0.054821156,0.12926453,0.018448139,0.076214746,0.118356824,0.11696339,0.0067799375,0.08917023,0.08780429,0.052358486,0.11560701,0.13083243,0.03109075,0.11432334,0.04893247
OTU_B_56945,-0.040590525,-0.06691267,-0.07850403,-0.16171737,-0.16854669,-0.108636424,-0.15844296,-0.10766543,0.039074056,-0.12924509,-0.034253262,-0.233401,-0.13591228,-0.09867352,0.0040024025,-0.15038775,-0.05545768,-0.106923096,-0.0828533,-0.159025,-0.18171386,-0.042210106,-0.069725536,-0.12245485,-0.095892526
OTU_B_57059,0.14362533,0.09984157,0.09730454,0.13519998,0.15443903,0.15790176,0.16098665,0.085381724,0.08927772,0.13527457,0.10853873,0.11666784,0.11233724,0.07231057,0.16129686,0.06523414,0.109376624,0.11614664,0.035764296,0.23372462,0.06311833,0.17503573,0.10592302,0.17408705,0.10818104
OTU_B_57075,0.13231644,0.067606516,0.117753714,0.1398265,0.070643224,0.14674777,0.12653406,0.14004199,0.0928145,0.070217334,0.10777152,0.056451496,0.13763453,0.16061087,0.10476353,0.0754018,0.09116001,0.08435391,0.119006075,0.090717554,0.12098006,0.04290762,0.15031496,0.07607701,0.1671892
OTU_B_76519,0.012798359,0.010244274,-0.021962106,0.056690738,-0.01206189,-0.078581564,-0.029912379,0.015476378,0.09527197,0.053096175,-0.018564701,0.098151706,-0.05945869,-0.07460791,0.022301268,-0.039611023,-0.042585645,0.12156349,-0.03879824,-0.024063554,-0.07693103,0.026992643,0.014437073,0.04512344,-0.019704064
OTU_B_27711,0.212639,0.143458,-0.20823465,0.21272847,0.14287749,0.18783537,0.18277602,0.19668683,-0.25099185,0.14479513,0.18747218,0.22656086,0.14649856,0.19853027,-0.20158239,0.200998,0.14396091,-0.21937993,0.11807815,0.19052345,0.17683953,0.17799677,0.15128466,-0.29262418,0.21578118
OTU_B_26279,0.023365622,0.016647156,-0.100007765,-0.020387257,-0.014419202,0.006770761,0.0011252192,-0.027222134,-0.075065605,0.0041030003,-0.025367202,-0.006030665,0.09751269,0.00806366,-0.06860775,0.026207343,0.019323237,-0.08358795,-0.057426333,-0.048398357,-0.06590268,0.03380414,0.025110925,-0.08498413,0.034626096
OTU_B_22182,0.16913673,0.23287393,0.19985919,0.10325269,0.179483,0.19712552,0.20029302,0.17059724,0.22244103,0.10797949,0.23996867,0.046689868,0.21964088,0.19002959,0.18935058,0.19649985,0.16858849,0.10961516,0.17518646,0.1776611,0.19906634,0.06177379,0.21876666,0.20888409,0.20771874
