0,p-value,Adj p-value
OTU_B_824991,0.293,0.5077515456173801
OTU_B_76536,0.205,0.4021164159581425
OTU_B_526848,0.006,0.025978345604157644
OTU_B_122533,0.003,0.014229954135695081
OTU_B_713762,0.161,0.33317546401711173
OTU_B_821618,0.001,0.005457059679767104
OTU_B_784293,0.011,0.04377813163481953
OTU_B_1276430,0.001,0.005457059679767104
OTU_B_57084,0.795,0.9325578848560702
OTU_B_57087,0.006,0.025978345604157644
OTU_B_57086,0.987,1.0
OTU_B_783873,0.664,0.8286737683089215
OTU_B_57080,0.651,0.818443661971831
OTU_B_57083,1.0,1.0
OTU_B_394568,0.831,0.9654974819865189
OTU_B_886279,0.403,0.6056712768089797
OTU_B_57088,0.111,0.2638592375366569
OTU_B_783878,0.064,0.17396121080297264
OTU_B_309163,0.532,0.7191711355047687
OTU_B_44659,0.142,0.3112749598011986
OTU_B_437951,0.073,0.1923070707070707
OTU_B_885820,0.173,0.35067693971343605
OTU_B_44650,1.0,1.0
OTU_B_38150,0.409,0.6118984386691275
OTU_B_1256012,1.0,1.0
OTU_B_658631,0.333,0.5431737640724426
OTU_B_44654,0.07,0.1865174129353234
OTU_B_117256,0.814,0.9497563898074304
OTU_B_314736,0.048,0.14204400592007893
OTU_B_44657,0.364,0.5744928695469137
OTU_B_122791,0.058,0.1614868176754549
OTU_B_748104,0.001,0.005457059679767104
OTU_B_1330405,0.008,0.03319535141117875
OTU_B_745423,0.048,0.14204400592007893
OTU_B_854584,0.841,0.974699435814205
OTU_B_54418,0.001,0.005457059679767104
OTU_B_998080,0.055,0.15531117597213068
OTU_B_790196,0.142,0.3112749598011986
OTU_B_54414,0.53,0.7188423099534211
OTU_B_54413,1.0,1.0
OTU_B_139057,0.139,0.30750815077081955
OTU_B_799465,0.085,0.21542335643062363
OTU_B_54410,0.248,0.46458563397876323
OTU_B_70837,0.605,0.7775275313879247
OTU_B_70836,0.808,0.9440779149947408
OTU_B_70835,0.001,0.005457059679767104
OTU_B_721258,0.378,0.5835680238842847
OTU_B_70833,0.896,1.0
OTU_B_70832,0.001,0.005457059679767104
OTU_B_70831,0.094,0.23135138683735434
OTU_B_59628,0.178,0.35894412694143746
OTU_B_59627,0.086,0.21694944907056943
OTU_B_268752,0.036,0.11494857872884061
OTU_B_59625,0.001,0.005457059679767104
OTU_B_736892,0.213,0.4139105870156796
OTU_B_390679,0.413,0.6161002735637902
OTU_B_107702,0.02,0.07201824948973466
OTU_B_29370,0.001,0.005457059679767104
OTU_B_29376,1.0,1.0
OTU_B_222118,0.36,0.5714878526438364
OTU_B_29374,0.002,0.010009010512264308
OTU_B_29375,0.093,0.22951172549987658
OTU_B_123552,0.135,0.30236128743185725
OTU_B_29379,0.001,0.005457059679767104
OTU_B_1190521,0.001,0.005457059679767104
OTU_B_752214,0.762,0.9085233154442457
OTU_B_137789,0.044,0.13415146894378366
OTU_B_121772,0.672,0.8353555767397522
OTU_B_338926,0.008,0.03319535141117875
OTU_B_865669,0.183,0.36717527428418517
OTU_B_763556,0.121,0.28173526900085394
OTU_B_810379,0.144,0.3133687418371789
OTU_B_223789,0.533,0.7191711355047687
OTU_B_1662894,0.487,0.6893248383595262
OTU_B_112239,0.117,0.27446726632772783
OTU_B_112238,0.028,0.09450551429214495
OTU_B_907804,0.312,0.519543834323469
OTU_B_797848,0.151,0.3210315446232367
OTU_B_931687,0.001,0.005457059679767104
OTU_B_112230,0.003,0.014229954135695081
OTU_B_112232,0.001,0.005457059679767104
OTU_B_893339,0.366,0.5759219307450157
OTU_B_119210,0.003,0.014229954135695081
OTU_B_774678,0.027,0.09183306872306644
OTU_B_709044,0.702,0.8630614470178315
OTU_B_1855779,0.145,0.31447248535685873
